Medals,Diversity
G,0.916324257985
S,1.92716211498
B,1.52936264603
G,0
B,0
G,0
G,0.3577708764
B,0
G,1.50782522182
G,1.85934189908
B,0.605888385119
N,0
G,1.19543949253
G,0.636396103068
G,1.24356458681
G,1.15890883926
N,1.25773157693
S,0.572021326069
S,0.521642999162
S,0.555555555556
S,0.745237733647
S,0.988114057445
N,1.42195363483
G,1.40063729845
G,1.40144793838
S,1.37707472034
G,1.2417292363
G,1.47461164004
S,0.324499614792
G,1.44349518399
G,1.47822396119
S,1.18470263323
N,1.13971079666
G,1.08715175025
G,1.51300679719
G,0.298400684775
S,1.7798319356
S,1.77190580935
G,1.26071502162
S,1.57861801087
B,1.42863137777
G,1.03458558481
G,1.20875507268
G,0.325389990174
N,0.592979020798
N,0
B,1.29903810568
S,1.30540569885
B,1.34539403011
G,1.92593283182
B,1.00691096754
N,1.38217750828
G,0.831479419283
B,0.895972914476
S,0.667731494539
G,1.38515692982
G,0.498491599579
B,1.62526022322
S,0.833882693617
B,1.16273923534
S,1.80304453168
B,0.458162128993
B,0.5366563146
B,1.64670697574
G,1.61542023496
G,1.2308463134
G,0.980111540795
G,1.63644605297
B,1.64811832191
G,1.39915059655
B,1.97548315765
S,1.29213833766
G,1.3011910397
G,1.25010093684
G,0.964245994294
G,1.53831893283
S,0.714949128877
G,1.51342309727
G,0
G,1.25373664745
S,1.36436568141
S,1.13278068189
S,0
S,1.43656910381
G,1.57995947657
G,0.712802282577
G,1.66175944452
B,0.782857062551
G,0.644659284591
S,1.85920970477
G,1.53123515358
G,1.63881163422
S,1.42851373303
G,1.50595671917
G,0.576888204074
N,1.08660612618
N,1.26908464846
G,1.29235723931
B,1.21819504334
N,1.58676514955
B,0.946322386855
S,1.44986305727
S,1.11227145139
G,1.13156646183
