Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive sciences,Philosophy
Edinburgh,,"Nom-Best Health and Medicine Project, Undergrad, Best Integrated Human Practices, Undergrad",G,9,0,0,0,0,,4,0,2,0,,0,0,0,0,0,0,0,0,2,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,1
ETH_Zurich,,"Nom-Best Health and Medicine Project, Overgrad, Best Model, Overgrad, Nom-Best Wiki Overgrad, Nom-Best Poster, Overgrad, Nom-Best New Basic Part, Overgrad, Best Part Collection, Overgrad",G,6,1,1,0,0,,2,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Exeter,,,G,11,0,0,2,0,,5,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,,0,0,,,0,0,,0,,0,,0,0,,,0
FAU_Erlangen,,,S,7,0,0,0,0,,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Freiburg,,"Nom-Best Health and Medicine Project, Overgrad, Nom-Best Innovation in Medicine, Overgrad, Nom-Best Wiki, Overgrad",G,16,0,1,2,0,,9.5,0,2,0,,0,0,0,0,0,0,0,0,0.5,0,0,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Fudan,,,S,13,0,0,0,0,,9,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,1,,0,0,,,0,0,,0,,0,,0,0,,,1
Georgia_State,,,S,6,0,0,0,0,,2,0,0,1,,0,2,0,0,0,1,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
GeorgiaTech,,,B,8,0,0,1,0,,6,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Glasgow,,,G,10,0,0,0,0,,8,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Groningen,,,B,9,0,0,2,0,,2.5,0,1.5,0,,0,0,0,0,0,1,0,0,1,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
Hamburg,,,B,10,0,0,0,0,,10,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Hamilton_McMaster,,,N,14,0,0,6,0,,4,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Harvard_BioDesign,,Nom-Best Foundational Advance Project,G,5,0,0,1,0,,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
HKUST-Rice,,"Nom-Best Environment Project, Undergrad, Nom-Best New Basic Part, Undergrad",G,18,4,0,0,0,,8.5,0,0,3.5,,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
HokkaidoU_Japan,,,S,11,0,0,0,0,,10,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Hong_Kong-CUHK,,,G,11,2,0,0,0,,4,0,0,0,,0,0,0,0,0,3,0,2,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Hong_Kong_HKU,,,N,9,4,0,1,0,,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,1,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
IISER_Pune,,,B,10,0,0,10,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
IIT_Delhi,,,B,13,0,0,0,0,,0,0,0,0,,8,3,0,1,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
IIT_Madras,,,N,7,0,0,0,0,,1,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
IONIS_Paris,,,G,12,8,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,,,0,0,0,,2,0,,,0,0,,0,,0,,0,0,,,0
ITB_INDONESIA,,,S,22,2,0,0,0,,12,1,2,0,,0,1,0,0,0,0,0,2,0,0,2,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Kent,,,G,11,0,0,5,0,,2,0,0,1,,0,0,0,0,2,0,0,0,0,0,0,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
LaVerne-Leos,,,B,6,0,0,0,0,,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Leicester,,,N,7,0,0,1,1,,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Lethbridge,,,G,14,0,0,4,0,,6,0,0,3,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Linkoping_Sweden,,,B,14,1,0,1,0,,4,0,0,4,,3,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
London_Biohackspace,,,B,4,1,0,0,0,,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
Manchester-Graz,,,G,12,5,0,2,0,,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Marburg,,"Best Food and Nutrition Project, Best Innovation in Measurement, Overgrad, Nom-Best Education and Public Engagement, Overgrad, Nom-Best Wiki, Overgrad, Nom-Best Poster, Overgrad, Nom-Best New Composite Part, Overgrad, Nom-Best Part Collection, Overgrad",G,10,0,0,1,0,,1,0,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,1,,0,0,,,0
METU_Turkey,,,N,18,0,0,0,0,,17,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Michigan,,,N,8,0,0,0,0,,4,0,0,1,,0,0,0,0,0,2,0,1,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Michigan_Software,,,B,8,0,0,0,0,,0.5,0,0,0.5,,0,0,0,0,0,0,0,1,5,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,1,,,0
Minnesota,,,N,5,0,0,0,0,,2.5,0,0,0.5,,0,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
MIT,,,B,9,0,1,0,0,,3,0,0,0,,2,0,0,0,0,0,0,0,3,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NAIT_Edmonton,,,S,5,0,0,0,0,,4,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NCTU_Formosa,,,G,13,8,0,0,0,,2,0,1,0,,0,0,0,0,0,0,0,2,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NEAU-China,,,B,11,2,0,0,0,,7,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NJAU_China,,,S,14,0,0,0,0,,11,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,1,,0,,0,0,,,0
NJU-China,,"Nom-Best Health and Medicine Project, Undergrad, Nom-Best Model, Undergrad, Nom-Best Presentation, Undergrad",G,14,0,0,0,0,,13,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Northeastern_boston,,,B,4,0,0,0,0,,2,0,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NRP-UEA-Norwich,,"Nom-Best Food and Nutrition Project, Nom-Best Education and Public Engagement, Undergrad",G,6,0,0,2,0,,2,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NTNU_Tronheim,,,G,5,2,0,1,0,,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NTU-LIHPAO-Taiwan,,,S,10,7,0,0,0,,0,0,0,0,,0,2,0,0,1,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NTU-Singapore,,,G,9,0.5,0,0,0,,3.5,0,0,1,,1,1,0,0,0,0,0,0,1,0,1,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NU_Kazakhstan,,,S,6,0,0,0,0,,5,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NYU-AD,,,B,8,0,0,0,0,,2,0,0,0,,0,0,0,2,0,0,0,0,3,0,1,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NYU_Shanghai,,"Nom-Best Poster, Undergrad",S,8,0,0,2.5,0,,3,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,1.5,,,0,0,,0,,0,,0,0,,,0
OUC-China,,,S,11,3,0,0,0,,4,0,0,0,,2,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
Oxford,,"Nom-Best Health and Medicine Project, Undergrad, Nom-Best Model, Undergrad, Nom-Best Presentation, Undergrad, Nom-Best wiki Undergrad, Nom-Best Presentation, Undergrad, Nom-Best New Basic Part, Undergrad",G,11,0,0,0,0,,0,0,2,8,,0,0,0,0,,0,0,,0,0,0,0,,,0,1,,,,0,,,0,0,,0,,0,,0,0,,,0
Paris_Saclay,,,B,7,0,0,2,0,,1,0,1,2,,0,0,0,0,0,0,0,0.5,0,0,0,0,,,0,0.5,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Pasteur_Paris,,,B,10,0,0,1,0,,5,0,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Peking,,"Nom-Best Health and Medicine Project, Undergrad, Nom-Best Wiki, Undergrad, Best New composite part, Undergrad, Best Part collection, undergrad",G,13,0,0,5,0,,3,1,2,0,,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Penn,,,N,5,0,0,0,0,,0,0,0,0,,2.5,2.5,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Pitt,,,S,4.9,0,0,0,0,,1.3,0,0.3,0,,1,1,0,0,0,0,0,0,1,0,0.3,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Pretoria_UP,,,B,7,0,0,0,0,,6,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Queens_Canada,,,G,11,0,0,1,0,,8,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Reading,,,N,10,0,0,1.5,0,,4,0,0,3,,0,0,0,0,0,0,0,0,1,0.5,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
RHIT,,,B,4,0,0,0,0,,2,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Santa_Clara,,,S,9,0,0,0,0,,1.5,0,0,2,,1,0,0,0,0,0,1,0,0.5,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,3,,,0
Scut-Champion-Park,,,B,14,1,0,2,0,,1.5,0,0,1.5,,3,0,0,0,0,0,0,0,2,0,0,0,,,0,0,0,,3,0,,,0,0,,0,,0,,0,0,,,0
SDU-Denmark,,"Nom-Best Manufacturing Project, Overgrad",G,9,0,0,6,0,,0.5,0,0,0.5,,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,1
Sherbrooke,,,G,20,0,0,0,0,,3,0,0,0,,0,0,0,0,15,0,0,0,2,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
SJTU-Software,,,G,12,0,8,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
SPSingapore,,,S,9,0,2,2,0,,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Stanford-Brown,,"Best Manufacturing Project, Undergrad, Nom-Best Poster, Undergrad, Nom-Best New Composite Part, Undergrad, Nom-Best Part Collection, Undergrad",G,10,0,0,0,0,,3,0,0,0,,4,0,0,0,0,0,0,1,0,0,0,2,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Stockholm,,"Nom-Best Part Collection, Undergrad",G,18,5,0,7,0,,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,3,,0,,0,,0,0,,,0
Stony_Brook,,,S,12,0,0,0,0,,1,1,1,7,,0,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
SVA-NYC,,"Best Art and Design Project, Nom-Best Integrated Human Practices, Overgrad, Nom-Best Education and Public Engagement, Overgrad, Nom-Best Presentation, Overgrad",G,13,0,0,0,0,,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,12,,,0,0,,0,,0,,0,0,,,0
SVCE_Chennai,,,B,17,16,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Sydney_Australia,,"Nom-Best Model, Undergrad,Nom-Best Integrated Human Practices, Undergrad, Nom-Best Education and Public engagement, undergrad",G,7,0,0,1,0,,2,0,0,1.5,,0,0,0,0,0,0,0,0.5,0,0,1,,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
SYSU-Software,,Best software project,G,16,2,0,0,0,,7,0,0,0,,1,0,0,0,0,0,0,0,4,0,0,1,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TCU_Taiwan,,,S,14,1,4,0,0,,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,1,,0,0,,,0
Tec-Monterrey,,,S,24,15,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,1,0,,,1,0,0,,3,0,,,0,0,,0,,0,,0,0,,,0
Tec_Guadalajara,,,B,12,11,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TecCEM,,,S,14,11,0,0,0,,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Technion_Israel,,"Best New Application Project, Overgrad, Nom-Best Applied Design, Overgrad, Nom-Best Presentation, Overgrad, Nom-Best New Basic Part, Overgrad",G,11,6,0,0,0,,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TJU,,Best Energy Project,G,13,1,0,0,0,,0,0,0,0,,4,6,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,1,,,0,0,,0,,0,,0,0,,,0
Tokyo_Tech,,"Nom-Best Information Processing Project, Undergrad, Nom-Best Part Collection, Undergrad",G,17,13,0,0,0,,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,,,2,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Toronto,,"Nom-Best Applied Design, Undergrad",S,22,0,7,2,0,,6,2,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,,,2,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TrinityCollegeDublin,,,G,8,0,0,0,0,,5,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TU_Darmstadt,,"Nom-Best Applied Design, Overgrad, Nom-Best Poster, Overgrad, Nom-Best Part Collection, Overgrad",G,41,0,0,0,0,,18,0,1,0,,14,0,0,2,0,0,0,0,3,0,0,0,,,1,2,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TU_Delft,,"Finalist, Overgrad, Grand Prize Winner, overgrad, Nom-Best Model, High school, Best Hardware project, Nom-Best Model, Overgrad, Best Applied Design, Overgrad, Nom-Best Integrated Human Practices, Overgrad, Best Wiki, Overgrad, Nom-Best New composite Part, Overgrad, Nom-Best Part collection, Overgrad",G,9,1,0,0,0,,5,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TU_Dresden,,,B,12,1,0,1,0,,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TU_Eindhoven,,"Nom-Best New Application Project, Undergrad, Best innovation in measurement, undergrad, nom-Best Education and public engagement, undergrad",G,13,3,0,0,0,,0,0,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Tufts,,,B,17.5,3.5,0,0,0,,0,0,1,4,,1,0,0,0,0,4,0,0,1,2,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UAM_Poznan,,,S,10,6,0,0,0,,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UC_davis,,"Nom-Best Environment Project, Overgrad",G,6,0,0,0,0,,1,0,0,0,,0,0,0,1,1,0,0,0,2,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UC_San_Diego,,,N,6,1,0,0,0,,0,0,0,1,,3,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Uchicago,,,S,6,0,0,0,0,,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Uchile-OpenBio,,,N,10,0,0,0,0,,0,0,0,0,,5,3,0,0,0,0,2,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UCL,,"Best Supporting Entrepreneurship, Overgrad, Nom-Best New Composite Part, Overgrad",G,10,3,0,0,0,,3,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UCLA,,"Nom-Best Manufacturing Project, Overgrad, Nom-Best New Basic Part, Undergrad, Nom-Best Part collection Undergrad",G,16,0,0,0,0,,6,0,0,5,,3,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UESTC_Software,,Nom-Best Software Project,G,12,3,0,0,0,,0,0,0,0,,0,0,0,0,1,5,0,0,2,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UFMG_Brazil,,"Nom-Best Integrated Human Practices, Overgrad, Best Education and Public engagement, overgrad",N,13,0,1,2,0,,4,0,0,0,,0,0,0,0,1,0,0,1,2,0,0,0,,,1,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
UFSCAR-Brasil,,,G,12,6,0,0,0,,1,0,0,0,,0,0,0,0,0,0,0,2,1,0,0,0,,,1,0,0,,0,1,,,0,0,,0,,0,,0,0,,,0
UGA-Georgia,,Nom-Best Measurement Project,G,8,1,0,0,0,,3,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UI_Indonesia,,,B,11,0,0,3,0,,1,2,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UiOslo_Norway,,,B,9,0,0,0,0,,1,0,1,0,,6,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Umaryland,,"Nom-Best New Application Project, Undergrad",G,17,0,0,6,0,,1,0,0,3,,4,1,0,0,0,0,0,0,1,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
