Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive science,Philosophy
Aachen,Measurement,"Best Supporting Software, Overgrad; Safety Commendation, Overgrad; Best Measurement Project",1,15,4,0,0,0,,6.5,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Aberdeen_Scotland,Health & Medicine,"Best Health & Medicine Project, Overgrad; Best Innovation in Measurement, Overgrad",1,5,,0,2,0,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
AHUT_China,Information Processing,,2,17,,0,0.5,0,,,,,0.5,,,,,6.5,0.5,,,5,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Aix-Marseille,Foundational Advance,,1,6,1,0,0,0,,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
AMU-Poznan,Software,,1,6,,0,0,0,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona_State,Energy,,3,4,,0,0,0,,1.5,,,,,,2,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
ArtCenter_MDP,Art & Design,Best Art&Design Project,4,8,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,
ATOMS-Turkiye,Health & Medicine,,1,18,,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auckland_New_Zealand,Health & Medicine,,4,6,1,0,1,0,,2.5,,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin_Texas,Measurement,,1,5,,0,1,0,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,New Application,,1,14,2,0,1,0,,,,1,,,2,,,,,2,,2,1,,,,,,,1,,,0.5,0.5,,1,,,,,,,,,,,,
BGU_Israel,Health & Medicine,,4,9,,0,0,0,,1.5,,,,,3,,,,0.25,,0.5,,1.25,0.5,,,,,,0.5,0.5,0.5,,,,,0.5,,,,,,,,,,,
Bielefeld-CeBiTec,Energy,,1,9,5,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOSINT_Mexico,Environment,,3,10,,0,0,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux,Manufacturing,,3,16,1,1,0,0,,6,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BostonU,Measurement,,1,3,,0,0,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasil-SP,Health & Medicine,,3,22,6,0,0,0,,13,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Braunschweig,Environment,,1,12,6,0,0,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British_Columbia,New Application,,3,17,1,0,3.5,0,,7,,,1,,1,1,,,,,,,1.5,,,,,,1,,,,,,,,,,,,,,,,,,,
Calgary,Health & Medicine,,1,18,,1,5,0,,6,,,1,,,3,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Cambridge-JIC,New Application,,1,9,,0,1,0,,1,,,1,,1,,,,,,,1,,,1,,,,,3,,,,,,,,,,,,,,,,,,
Carnegie_Mellon,Environment,"Best Poster, Undergrad",1,6,,0,0,0,,2.5,,,,0.5,,,1,,0.5,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CityU_HK,Health & Medicine,,1,12,,0,0,0,,9,,,,,2,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia,Foundational Advance,,2,9,,0,0.5,0,,7.5,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
CSU_Fort_Collins,Manufacturing,,4,9,,0,0,0,,3,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh,Foundational Advance,,1,8,2,0,1,0,,2,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
ETH_Zurich,Information Processing,"Best Model, Overgrad",1,7,3,1,0.5,0,,0.5,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Exeter,Environment,,1,8,,0,0,0,,1,2,,2,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
Freiburg,New Application,,1,19,1.75,0,3,0,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fudan,Health & Medicine,,1,12,1,0,0,0,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeorgiaTech,Foundational Advance,,2,10,,0,0,0,,0.5,,,3,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GES_NCSU_Raleigh_NC,Policy & Practices,Best Policy&Practices Project,2,10,,0,0,2,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,
Glasgow,New Application,,1,10,,0,0,0,0.5,7.5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goettingen,Health & Medicine,,3,11,2,0,0,0,,3.5,,,3.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannover,Environment,,2,11,9,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisburg_NBT,Environment,,4,3,,0,0,0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
HFUT_CHINA,Software,,1,9,1,0,0,0,,,,,,,,,,,0.5,,,3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
HokkaidoU_Japan,Foundational Advance,,3,14,,0,1,0,1,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
