Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive science,Philosophy
Hong_Kong_HKUST,Health & Medicine,,4,21,5,0,0,0,,6.5,,,5,,1.5,1.5,,,,,,,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,
IIT_Delhi,Environment,,3,21,8.5,0,0,0,,,,,,1,8.5,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Imperial,Manufacturing,"Best Part Collection, Undergrad; Best Manufacturing Project; Finalist, Undergrad; First Runner Up, Undergrad",1,9,0.5,0,0,0,,3,,,2,,,,,,,3,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
ITB_Indonesia,Environment,,1,18,,0,0,0,,7,,,,,,,,,1.5,,0.5,5.5,0.5,,1.5,,,,,,,0.5,,,,,,,,1,,,,,,,,
ITESM-CEM,Health & Medicine,,2,12,10,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
KAIT_JAPAN,Health & Medicine,,4,24,,0,0,0,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent,Manufacturing,,3,8,,0,2,0,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIT-Kyoto,Energy,,2,12,,0,0,0,,11,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,
LIKA-CESAR-Brasil,Health & Medicine,,2,8,,0,5,0,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester,Food & Nutrition,,4,6,1,0,2,0,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,2,,,,,,
Marburg,New Application,,1,15,,0,3,0,,7,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Melbourne,Manufacturing,,3,20,,0,13,0,,2,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
METU_Turkey,Environment,,3,9,,0,0,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri_Miners,Environment,,3,41,,0,0,0,,16.5,,0.5,2,,3,11,,,,,,5,1,,,0.5,,,,1.5,,,,,,,,,,,,,,,,,,
Nagahama,New Application,,2,5,,0,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Foundational Advance,,2,5.5,,0,0.5,0,,0.75,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRP-UEA-Norwich,Food & Nutrition,,1,6,,0,1,0,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNU_Trondheim,Environment,,1,7,4,0,0,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUC-China,New Application,,3,14,2,0,0,0,,7.5,,,1.5,,,,,,,,,0.5,1.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
Oxford,Environment,,1,11,,0,0,0,,1,,1,6,,,,,,,,,1,,,,,,,,,0.5,,,,,,0.5,,,,,,,,1,,,
Paris_Bettencourt,New Application,"Best Supporting Art&Design, Overgrad; Best New Application Project, Overgrad",1,21,2,5,1,0,,7,1,,,,2,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,
Paris_Saclay,Art & Design,,1,20,1,1,2,0,,7,1,3,,,,,,0.5,,,,0.5,1,,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,
Penn,Environment,,3,4,,0,0,0,,,,,,,3,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Penn_State,Foundational Advance,,1,4,,0,0,0,,0.5,,,0.5,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitt,Health & Medicine,,2,9,,0,0,0,,3,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,Food & Nutrition,,4,12,,0,0,0,1,,,,0.5,,6,1,,,,3,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
RHIT,Foundational Advance,,4,7,,0,0,1,,3,,,,,,,,,,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
Rutgers,Foundational Advance,,4,4,,0,0.5,0,,1.5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saarland,Health & Medicine,,2,12,,0,1,0,,9,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
SCAU-China,Energy,,1,12,1,0,0,0,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDU-Denmark,Food & Nutrition,"Best Wiki, Overgrad",1,9,,0,6,0,,0.5,,,1.5,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
Sheffield,Manufacturing,,1,8,0.5,0,0,0,,2.5,,,0.5,,0.5,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SJTU-Software,Software,,1,10,,3,0,0,,,,,,,1,,,,,1,,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,
Stony_Brook,Health & Medicine,,3,12,,0,0,0,,3,,1,3,,,1,,,,2,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
Sumbawagen,Measurement,Chairmans Award,3,15,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYSU-China,New Application,"Best New Composite Part, Undergrad",3,18,9,0,1,0,,6,,,,,,,,,,,,,,,,,,,,1,,,0.5,0.5,,,,,,,,,,,,,,
Tec-Monterrey,Health & Medicine,,1,11,8,0,0,0,,0.5,,1,,,,,,,,,,0.5,,,,,,,1,,,,,,,,,,,,,,,,,,,
Technion-Israel,Information Processing,,1,10,3,0,0,0,,,,0.5,,,3,,,,,0.5,,,,,1,,,,,1,,,0.5,0.5,,,,,,,,,,,,,,
Tokyo_Tech,Information Processing,Best Information Processing Project,1,14,1,4,0,0,,3,,,,,3,,,,,,,,1.5,,0.5,,,,,1,,,,,,,,,,,,,,,,,,
Toulouse,Environment,"Best Innocation in Measurement, Undergrad",1,11,,2,0,0,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuebingen,Health & Medicine,,3,25,,0,0,0,,2,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tufts,Health & Medicine,,1,10,1.75,0,0,0,,1.75,,1,0.5,,2.5,,,,,0.25,,0.5,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,0.5,
TU_Darmstadt,Energy,"Best New Basic Part, Overgrad; Best Energy Project; Finalist, Overgrad; Second Runner Up, Overgrad",1,25,4,0,0,0,,4,,1,,,12,,,,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,
TU_Delft-Leiden,Microfluidics,Best Microfluidics Project,1,13,2.5,0,0,0,,3,,,0.5,,,,,1,0.5,,,2,1,,,,,,2.5,,,,,,,,,,,,,,,,,,,
TU_Eindhoven,New Application,"Best New Application Project, Undergrad",1,14,,0,3,0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCL,Environment,,1,27,5.5,0.5,5,0,,2.5,,,2,,6.5,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,
UCLA,Manufacturing,,3,13.99,,1,1.25,0,,2.25,,,3,,3.5,0.5,,,,,,,,1,1,,,,,,,,,,,0.5,,,,,,,,,,,,
UCSC,Energy,,3,14.01,,1,0,0,,5,,,1,,6.5,,,,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
UCSD_Software,Software,,1,9,,3,0.5,0,,0.5,,,0.5,,2,,,,1,,,,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,
UC_Davis,Food & Nutrition,"Best Policy&Practices Advance Overgrad; Finalist, Overgrad; Grand Prize Winner, Overgrad",1,6,,1,0,0,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC_Santa_Barbara,New Application,,3,9,,0,0,0,,2,3,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
UFAM_Brazil,Environment,,1,16,6.5,0,1.5,0,,4.25,,,0.75,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,
UFMG_Brazil,Health & Medicine,,4,14,,1,3,0,,8,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
UGA-Georgia,New Application,,3,6,,0,0,0,,4.25,,,0.75,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI-Indonesia,Health & Medicine,,1,8,,0,3,0,,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UiOslo_Norway,New Application,,3,7,,0,0,0,1,2,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
UIUC_Illinois,Food & Nutrition,,4,8.99,,0,0,0,,0.66,,,,,7,,,,,,,,,0.33,,,,,1,,,,,,,,,,,,,,,,,,,
ULB-Brussels,Manufacturing,,4,12,,0,0,0,,6,,,,,4,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
UMaryland,Environment,,1,15,,0,2.5,0,,3,,,1,,7.5,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
UNIK_Copenhagen,New Application,,4,4,2.5,0,0,0,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uppsala,Health & Medicine,,1,21,15,1,1,0,,1.5,,0.5,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USTC-China,New Application,,1,24,1,0,0,0,,11,,2,,2,,,,,,,,,2,,1,,,,,5,,,,,,,,,,,,,,,,,,
USTC-Software,Software,,1,16,,0,0,0,,2,,,,,,,,,2,,,1,1,,4,,1,,,5,,,,,,,,,,,,,,,,,,
USyd-Australia,Foundational Advance,,3,6,,1,0.5,0,,2.5,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
UT-Dallas,Health & Medicine,,1,5,,0,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah_State,Manufacturing,,1,9,,0,0,0,,,,,1,,6.5,,,,,,,1,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
Valencia_UPV,Environment,"Best Part Collection, Undergrad",1,6,4,0,0,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtus-Parva_Mexico,New Application,,4,6,,0,0,0,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Wageningen_UR,Food & Nutrition,"Best Poster, Overgrad; Best Food&Nutrition Project; Finalist, Overgrad; First Runner Up, Overgrad",1,13,10,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warsaw,New Application,,3,10,6,0.5,0,0,,1,,1.5,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,
Washington,Foundational Advance,,1,13,,0,0,0,,6,,1,5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,
WashU_StLouis,Environment,,2,4,,0,0,0,,1,,,1,,,,,,,1.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
WPI-Worcester,Health & Medicine,,1,6,4.5,0,0,0,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York,Environment,,2,14,,0,0,0,,8,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJU-China,Foundational Advance,,3,14,,1,1,0,,9,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
