Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive science,Philosophy
SDU-Denmark,Manufacturing,"Most Improved Registry Part, EuropeBest Wiki, Undergrad",G,7.5,,,5,,,,,,1.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Stanford-Brown,New Application,,G,13,,,,,,6.5,,,,,3,1,,,,1,,,,,,,,,,,,,,,,0.5,,,1,,,,,,,,,
Tianjin,Food & Energy,"Best Poster, AsiaRegional Finalist, Asia",G,20,,,,,,,,,,,6,8,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo_Tech,Information Processing,"Best Information Processing Project, Undergrad",G,14,,4,,,,1.5,,,,,7,,,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsinghua-E,Manufacturing,,S,14,,,,,,2.5,,0.5,1,,,9.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
TU-Delft,Health & Medicine,,G,5,1,0.5,,,,2,,,,,,,,0.5,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
TU-Eindhoven,New Application,,G,6,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU-Munich,Environment,"Best Wiki, EuropeRegional Finalist, EuropeFirst Runner Up, EuropeFirst Runner Up, UndergradBest Environment Project, UndergradFinalist, Undergrad",G,10,4,,,,,,,1,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
TU_Darmstadt,Food & Energy,,S,17,,1,1,,,1,,1,,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tuebingen,Environment,,S,22,,3,,,,11,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TzuChiU_Formosa,Environment,,S,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC_Chile,Manufacturing,"Best Poster, Latin America",S,9,3,,,,,2.5,,,1,,,,,,,,,,,,,,,,,2,0.5,,,,,,,,,,,,,,,,,
UC_Davis,Foundational Advance,,G,5,1,,,,,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
UChicago,Environment,,G,11,,,,,,9,,0.5,,,,,,,,,,,,0.5,,1,,,,,,,,,,,,,,,,,,,,,,
UCL,Health & Medicine,,G,10,,,1,,,2,,,3,,,1,,,,,,,1,,,,,,,,,,,1.5,,,,,,,,0.5,,,,,,
UCLA,Foundational Advance,,B,10,,,,,,7,,,1,,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCSF,Foundational Advance,,G,10,0.5,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
UFMG_Brazil,Health & Medicine,"Best New BioBrick Part, Natural, Latin America, OvergradRegional Finalist, Latin America, Overgrad",S,10,,1,2,,,2,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,0.5,,,,,0.5,,
UNIK_Copenhagen,New Application,,G,11,3,,2,,,3,,,1,,,,,,,,,,0.5,,,,,,,,,,,,,,,1,,,,,,,,0.5,,
uOttawa,New Application,,G,13,,,3,,,1,1,,5,,,,,0.5,,,,,1.5,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,
USP-Brazil,Manufacturing,,S,19,1,,,,,8,2,0.5,2,,,1,,,,,,,,,,0.5,,,,1,,,1,0.5,,,,,,,,0.5,,,,1,,
USTC-Software,Software Tools,,G,12,,,,,,1,,,,,,,,,,,,,3,,2,,,,,5,,,,,,,,,,,,,,,,1,,
Utah_State,Manufacturing,,G,5,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTK-Knoxville,Environment,,N,3,,,,,,,,,,,1.5,0.5,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Valencia-CIPF,Environment,,N,7,4,,,,,1.5,,,,,,,,,,,,1,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
Virginia,Foundational Advance,"Best Human Practices Advance, North America",G,13,,,,,,6,,,0.5,,,2,,1,,2,,,,,,,,,,0.5,,,,,,0.5,,,,,,0.5,,,,,,
Washington,New Application,,B,15,,,1,,,5.5,1,,6.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WashU_StLouis,Environment,,N,4,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster,Environment,,B,8,3,,,,,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLC-Milwaukee,Food & Energy,,S,13,,,,,,2,,1,6,,,,,,,,,,,1,0.5,,,,,,,,,0.5,,,,,1,,,,,0.5,,,,0.5
Yale,Manufacturing,,S,8,,,,,,2.5,,,0.5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJU-China,New Application,"Best Experimental Measurement Approach, Asia",G,11,,,,,,6,,1,,,,1,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,
