Medals,Diversity
G,1.37418834072
G,1.4434861392
S,1.40785018432
G,1.31736492014
G,0
B,0.827785165409
N,0.838525491562
G,0
N,1.12291197571
G,1.1516176584
G,2.12808121199
N,1.77487747191
G,0.349188533919
B,0
B,1.23727730269
G,0
B,0.794935729556
G,0.559016994375
B,1.47470401408
G,1.40928062258
G,1.43984784783
G,1.550271024
G,0.657761033489
S,0.601562430336
N,1.21853585964
G,1.59937946214
G,1.50293611696
G,1.26576449193
G,0.678350503694
G,0.170810748281
S,1.02878421333
S,1.90182302113
G,0.875557351553
B,1.38080606211
S,0.332638211529
N,0
G,1.86789328481
B,0.429369862374
N,1.44273463506
B,1.60808190432
G,1.57065906307
G,1.42080243725
S,0.833174173312
N,0
B,1.30785490297
S,0.465371722694
S,1.24243990146
N,1.80964458591
G,1.16314350063
B,1.25980954985
B,0
B,1.13501027661
S,0
S,0.899724993518
G,1.01820012423
G,1.00974015321
B,1.28059573624
G,1.48253572985
G,1.71796752202
G,1.6371499916
B,0.968359173134
G,1.03019981632
S,1.19057835796
N,1.15248767969
N,2.50434217624
N,0.686956794049
S,0.762282487873
G,0.170810748281
G,1.33395991475
G,1.35430583177
G,2.1976542802
B,1.76492306661
B,0
B,1.08412540127
G,0.763012455327
G,1.79167504961
G,1.68784399625
G,1.1106049869
B,0.275385983667
G,1.96910683901
G,1.43285945066
G,1.70337305324
G,1.35742094742
G,1.74556642496
B,1.8514822257
B,1.24098722419
G,1.88542176553
G,1.59156038307
B,1.45719447636
G,1.54308811909
N,1.23206464412
B,0.842845973897
G,1.78915570618
B,1.73897179221
N,0.746989131249
N,1.01920941889
G,1.61979193327
N,0.935854858082
G,0.691753640941
G,1.25184123585
G,1.38996889651
B,1.46482414556
G,0
G,0.549445021421
G,1.42291649721
N,0
G,0.38380766375
B,0.852046655876
G,1.213457782
S,1.34616045133
G,0.773082304803
S,1.0041572547
B,0.915010495206
