Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive science,Philosophy
UiOslo_Norway,New Application,,B,7,,0,0,0,1,2,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
UIUC_Illinois,Food & Nutrition,,N,8.99,,0,0,0,,0.66,,,,,7,,,,,,,,,0.33,,,,,1,,,,,,,,,,,,,,,,,,,
ULB-Brussels,Manufacturing,,N,12,,0,0,0,,6,,,,,4,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
UMaryland,Environment,,G,15,,0,2.5,0,,3,,,1,,7.5,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
UNIK_Copenhagen,New Application,,N,4,2.5,0,0,0,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uppsala,Health & Medicine,,G,21,15,1,1,0,,1.5,,0.5,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USTC-China,New Application,,G,24,1,0,0,0,,11,,2,,2,,,,,,,,,2,,1,,,,,5,,,,,,,,,,,,,,,,,,
USTC-Software,Software,,G,16,,0,0,0,,2,,,,,,,,,2,,,1,1,,4,,1,,,5,,,,,,,,,,,,,,,,,,
USyd-Australia,Foundational Advance,,B,6,,1,0.5,0,,2.5,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
UT-Dallas,Health & Medicine,,G,5,,0,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah_State,Manufacturing,,G,9,,0,0,0,,,,,1,,6.5,,,,,,,1,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
Valencia_UPV,Environment,"Best Part Collection, Undergrad",G,6,4,0,0,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtus-Parva_Mexico,New Application,,N,6,,0,0,0,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Wageningen_UR,Food & Nutrition,"Best Poster, Overgrad; Best Food&Nutrition Project; Finalist, Overgrad; First Runner Up, Overgrad",G,13,10,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warsaw,New Application,,B,10,6,0.5,0,0,,1,,1.5,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,
Washington,Foundational Advance,,G,13,,0,0,0,,6,,1,5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,
WashU_StLouis,Environment,,S,4,,0,0,0,,1,,,1,,,,,,,1.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
WPI-Worcester,Health & Medicine,,G,6,4.5,0,0,0,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York,Environment,,S,14,,0,0,0,,8,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJU-China,Foundational Advance,,B,14,,1,1,0,,9,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
